;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
0;100000.0;0.0;0.0;-100000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.0;30000.0;-30000.0;0.0;-30000.0;-30000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2;0.0;-30000.0;40000.0;0.0;30000.0;20000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3;-100000.0;0.0;0.0;128750.0;0.0;0.0;-3750.0;0.0;-7500.0;0.0;0.0;0.0;-25000.0;0.0;0.0;0.0;0.0;0.0
4;0.0;-30000.0;30000.0;0.0;80468.75;28125.0;0.0;-50000.0;0.0;0.0;0.0;0.0;0.0;-468.75;-1875.0;0.0;0.0;0.0
5;0.0;-30000.0;20000.0;0.0;28125.0;50000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1875.0;5000.0;0.0;0.0;0.0
6;0.0;0.0;0.0;-3750.0;0.0;0.0;18750.0;0.0;-7500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;0.0;0.0;0.0;0.0;-50000.0;0.0;0.0;100000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8;0.0;0.0;0.0;-7500.0;0.0;0.0;-7500.0;0.0;35000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
12;0.0;0.0;0.0;-25000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;41758.67190999916;-4667.064045000422;-1920.0;0.0;0.0;-1920.0
13;0.0;0.0;0.0;0.0;-468.75;1875.0;0.0;0.0;0.0;0.0;0.0;0.0;-4667.064045000422;15850.41797749979;435.0;0.0;0.0;-1440.0
14;0.0;0.0;0.0;0.0;-1875.0;5000.0;0.0;0.0;0.0;0.0;0.0;0.0;-1920.0;435.0;18000.0;0.0;0.0;4000.0
15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
17;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1920.0;-1440.0;4000.0;0.0;0.0;8000.0
